 Print Document Close Window
Route Loading Sheet
Route Name: Kurunegala To Hettipola

Assigned Rep: Abdul Raheem

Printed On: 2026-07-20 6:51 PM

Active Bills
17
Total Route Value
Rs. 308,062.82
No	Product Name	Qty	Unit Price	Total	
181	Fabric Paint 15ml 6Pcs Blue	6	580.00	3,480.00	
182	Fabric Paint 15ml 6Pcs CHROME YELLOW	0	580.00	0.00	
183	Fabric Paint 15ml 6Pcs DARK GREEN	6	580.00	3,480.00	
184	Fabric Paint 15ml 6Pcs GRAY	6	580.00	3,480.00	
185	Fabric Paint 15ml 6Pcs MAGENTA	6	580.00	3,480.00	
186	Fabric Paint 15ml 6Pcs RICH RED	0	580.00	0.00	
187	Fabric Paint 15ml 6Pcs VERMILION	0	580.00	0.00	
188	Fabric Paint 15ml 6Pcs VIOLET	0	580.00	0.00	
189	Fabric Paint 15ml 6Pcs WHITE	0	580.00	0.00	
190	Fabric Paint 6 Colors	0	720.00	0.00	
191	Pen Holder Metal 9922	18	160.00	2,880.00	
192	Pen Holder Wooden Large	18	250.00	4,500.00	
193	Pen Holders Bunny (FS33-36)	0	160.00	0.00	
194	Magnet Box 1153	0	330.00	0.00	
195	Magnet Box 1230	60	225.00	13,500.00	
196	Magnet Box 1488	0	415.00	0.00	
197	Magnet Box 6825	0	395.00	0.00	
198	Magnet Box BH002	0	495.00	0.00	
199	Magnet Box QY30	12	520.00	6,240.00	
200	Metal Pencil Box 1701A	18	217.40	3,913.20	
201	Metal Pencil Box 8702	0	350.00	0.00	
202	Pencil Design Purse A6	18	140.00	2,520.00	
203	Pencil Purse 1199	12	520.00	6,240.00	
204	Pencil Purse 2523	0	650.00	0.00	
205	Pencil Purse 2528	0	650.00	0.00	
206	Pencil Purse 5335	36	320.00	11,520.00	
207	Pencil Purse 5338	18	325.00	5,850.00	
208	Pencil Purse 5501	36	325.00	11,700.00	
209	Pencil Purse Y 106	30	650.00	19,500.00	
210	Erasable Pen	6	900.00	5,400.00	
211	Supra B & G Blue Pen 10 Pcs	0	800.00	0.00	
212	Supra B & G White Pen 10 Pcs	0	800.00	0.00	
213	Supra Play Smart Pen 10 Pcs	0	800.00	0.00	
214	Ten Color Pen 5Pcs	0	110.00	0.00	
215	Ten Plus Pen Black 50Pcs	24	852.50	20,460.00	
216	Ten Plus Pen Blue 50Pcs	66	852.50	56,265.00	
217	Ten Plus Pen Red 50Pcs	18	852.50	15,345.00	
218	Color Book Covers EX 10Pcs D Blue	6	250.00	1,500.00	
219	Color Book Covers EX 10Pcs L Green	6	250.00	1,500.00	
220	Color Book Covers EX 10Pcs Orange	6	250.00	1,500.00	
221	Color Book Covers EX 10Pcs Pink	6	250.00	1,500.00	
222	Color Book Covers EX 10Pcs Purple	6	250.00	1,500.00	
223	Color Book Covers EX 10Pcs Red	6	250.00	1,500.00	
224	Color Book Covers EX 10Pcs Yellow	6	250.00	1,500.00	
225	Compass Single 9005	144	110.00	15,840.00	
226	Design Ruler 30cm 8930	72	80.00	5,760.00	
227	Game Ruler 15CM	60	90.00	5,400.00	
228	Game Ruler 20CM	60	110.00	6,600.00	
229	Meter Ruler Plastic	0	114.75	0.00	
230	Rotating Ruler 15cm	72	45.00	3,240.00	
231	Ruler 15CM 12Pcs	6	390.00	2,340.00	
232	Ruler 30CM 12Pcs	6	620.00	3,720.00	
233	Vneed Artist Brushes 6Pcs	36	300.00	10,800.00	
234	Water Color Palette Set DY 1	0	334.05	0.00	
235	Water Color Pallet Small 288	30	110.00	3,300.00	
236	Name Sticker Bike 10Pcs (NEW)	6	200.00	1,200.00	
237	Punch Wall Sticker Large Mix	60	185.00	11,100.00	
238	Punch Wall Sticker Medium Mix	0	110.00	0.00	
239	Punch Wall Sticker Small Mix	72	60.00	4,320.00	
240	Room Decor W12 Mix	18	740.00	13,320.00	
241	Star Sticker Small 10Pcs GOLD	5	120.00	600.00	
242	Star Sticker Small 10Pcs GREEN	6	120.00	720.00	
243	Star Sticker Small 10Pcs PINK	0	120.00	0.00	
244	Star Sticker Small 10Pcs PURPLE	0	120.00	0.00	
245	Star Sticker Small 10Pcs RED	1	120.00	120.00	
